Case_ID,ROUGE-1_Precision,ROUGE-1_Recall,ROUGE-1_F1,ROUGE-2_Precision,ROUGE-2_Recall,ROUGE-2_F1,ROUGE-L_Precision,ROUGE-L_Recall,ROUGE-L_F1,Algorithm
PB-NM-0001,0.0723,0.6053,0.1292,0.0284,0.2432,0.0508,0.0535,0.4474,0.0955,T5
PC-UT-0003,0.0747,0.6792,0.1346,0.027,0.25,0.0488,0.0602,0.5472,0.1084,T5
EE-CA-0039,0.0063,0.0088,0.0073,0.0,0.0,0.0,0.0063,0.0088,0.0073,T5
IM-NY-0007,0.0262,0.5345,0.05,0.0042,0.0877,0.0081,0.0178,0.3621,0.0338,T5
EE-CA-0085,0.0374,0.1429,0.0593,0.0,0.0,0.0,0.0327,0.125,0.0519,T5
EE-IL-0282,0.0485,0.6,0.0898,0.0074,0.0926,0.0136,0.0338,0.4182,0.0626,T5
JI-SC-0001,0.039,0.6279,0.0735,0.0087,0.1429,0.0164,0.0318,0.5116,0.0599,T5
VR-DC-1168,0.0375,0.629,0.0707,0.0135,0.2295,0.0254,0.0307,0.5161,0.058,T5
JI-LA-0007,0.0441,0.2727,0.0759,0.0029,0.0185,0.0051,0.0441,0.2727,0.0759,T5
EE-NY-0194,0.1326,0.5714,0.2152,0.0333,0.1463,0.0543,0.0884,0.381,0.1435,T5
IM-NY-0060,0.0353,0.35,0.0641,0.0051,0.0508,0.0092,0.0303,0.3,0.055,T5
EE-WA-0029,0.0049,0.0088,0.0062,0.0,0.0,0.0,0.0049,0.0088,0.0062,T5
EE-CA-0030,0.0054,0.0088,0.0067,0.0,0.0,0.0,0.0054,0.0088,0.0067,T5
PN-NJ-0005,0.0973,0.5373,0.1648,0.0108,0.0606,0.0184,0.0514,0.2836,0.087,T5
IM-GA-0008,0.0244,0.6857,0.0471,0.0051,0.1471,0.0098,0.0183,0.5143,0.0353,T5
EE-CA-0040,0.0829,0.2581,0.1255,0.0052,0.0164,0.0079,0.0622,0.1935,0.0941,T5
NS-DC-0115,0.0483,0.7541,0.0908,0.0189,0.3,0.0356,0.0357,0.5574,0.0671,T5
IM-NY-0072,0.024,0.6393,0.0462,0.0031,0.0833,0.0059,0.0197,0.5246,0.0379,T5
PC-MI-0009,0.0384,0.7727,0.0732,0.0124,0.2558,0.0237,0.0294,0.5909,0.056,T5
EE-MI-0048,0.1016,0.5161,0.1698,0.0191,0.0984,0.032,0.0889,0.4516,0.1485,T5
EE-NC-0125,0.0777,0.4054,0.1304,0.0052,0.0278,0.0088,0.0466,0.2432,0.0783,T5
EE-NY-0031,0.1027,0.4419,0.1667,0.0109,0.0476,0.0177,0.0703,0.3023,0.114,T5
JI-NM-0003,0.039,0.5625,0.0729,0.0087,0.129,0.0163,0.0281,0.4062,0.0526,T5
PN-NY-0011,0.0915,0.6774,0.1612,0.0175,0.1311,0.0308,0.061,0.4516,0.1075,T5
EE-NM-0037,0.0902,0.5111,0.1533,0.0039,0.0227,0.0067,0.0627,0.3556,0.1067,T5
FH-SD-0001,0.1503,0.5273,0.2339,0.0365,0.1296,0.0569,0.0829,0.2909,0.129,T5
FH-NH-0001,0.0935,0.4412,0.1542,0.0281,0.1343,0.0465,0.0685,0.3235,0.1131,T5
CJ-MO-0001,0.0347,0.907,0.0669,0.0178,0.4762,0.0344,0.0276,0.7209,0.0532,T5
ED-SD-0002,0.0515,0.493,0.0932,0.0074,0.0714,0.0134,0.0338,0.3239,0.0613,T5
IM-DC-0065,0.0416,0.3148,0.0734,0.0025,0.0189,0.0043,0.0342,0.2593,0.0605,T5
IM-CT-0009,0.0567,0.4516,0.1007,0.0041,0.0328,0.0072,0.0405,0.3226,0.0719,T5
JI-CT-0004,0.0329,0.6935,0.0628,0.0077,0.1639,0.0146,0.0207,0.4355,0.0394,T5
NH-PA-0002,0.0638,0.4737,0.1125,0.0142,0.1081,0.0252,0.0603,0.4474,0.1062,T5
EE-FL-0061,0.0363,0.5833,0.0683,0.0,0.0,0.0,0.0259,0.4167,0.0488,T5
PN-MI-0002,0.0611,0.7632,0.1131,0.0148,0.1892,0.0274,0.0505,0.6316,0.0936,T5
EE-TX-0179,0.2695,0.5135,0.3535,0.1071,0.2055,0.1408,0.1986,0.3784,0.2605,T5
EE-IL-0123,0.0018,0.0345,0.0035,0.0,0.0,0.0,0.0018,0.0345,0.0035,T5
IM-DC-0083,0.0706,0.4107,0.1204,0.0123,0.0727,0.0211,0.0491,0.2857,0.0838,T5
EE-TX-0195,0.05,0.4118,0.0892,0.0,0.0,0.0,0.0393,0.3235,0.0701,T5
IM-FL-0018,0.0599,0.566,0.1083,0.01,0.0962,0.0181,0.0419,0.3962,0.0758,T5
DR-CO-0009,0.1098,0.3273,0.1644,0.0184,0.0556,0.0276,0.0732,0.2182,0.1096,T5
JC-AZ-0016,0.0159,0.3226,0.0303,0.0,0.0,0.0,0.0127,0.2581,0.0242,T5
EE-TX-0095,0.0606,0.3571,0.1036,0.0,0.0,0.0,0.0485,0.2857,0.0829,T5
PN-AZ-0001,0.0454,0.7083,0.0853,0.0071,0.1127,0.0134,0.0285,0.4444,0.0535,T5
CJ-OK-0004,0.0616,0.6607,0.1126,0.02,0.2182,0.0366,0.0466,0.5,0.0852,T5
FA-IN-0001,0.0408,0.6977,0.077,0.0163,0.2857,0.0309,0.0299,0.5116,0.0565,T5
EE-NY-0146,0.0683,0.4545,0.1187,0.0068,0.0465,0.0119,0.0546,0.3636,0.095,T5
EE-NC-0086,0.1159,0.2424,0.1569,0.0,0.0,0.0,0.0942,0.197,0.1275,T5
CJ-CO-0004,0.0821,0.7042,0.1471,0.0312,0.2714,0.056,0.0591,0.507,0.1059,T5
EE-LA-0028,0.019,0.4286,0.0364,0.0,0.0,0.0,0.0127,0.2857,0.0242,T5
IM-KY-0001,0.1865,0.507,0.2727,0.0417,0.1143,0.0611,0.1088,0.2958,0.1591,T5
EE-MO-0105,0.5806,0.1985,0.2959,0.1838,0.0626,0.0934,0.2742,0.0938,0.1397,OpenAI
EE-MI-0138,0.3041,0.4714,0.3697,0.088,0.1367,0.107,0.1613,0.25,0.1961,OpenAI
EE-FL-0124,0.6532,0.3139,0.424,0.2941,0.141,0.1906,0.3198,0.1537,0.2076,OpenAI
DR-TX-0003,0.6275,0.2485,0.3561,0.2562,0.1012,0.145,0.2843,0.1126,0.1613,OpenAI
EE-GA-0095,0.3802,0.465,0.4183,0.1414,0.1731,0.1556,0.2031,0.2484,0.2235,OpenAI
JI-OH-0011,0.585,0.2577,0.3578,0.2362,0.1038,0.1442,0.305,0.1344,0.1865,OpenAI
PB-DC-0011,0.625,0.3684,0.4636,0.2466,0.1451,0.1827,0.2991,0.1763,0.2219,OpenAI
PC-SD-0001,0.6735,0.1997,0.3081,0.2564,0.0758,0.117,0.3571,0.1059,0.1634,OpenAI
EE-LA-0061,0.3107,0.512,0.3867,0.1415,0.2339,0.1763,0.165,0.272,0.2054,OpenAI
EE-MI-0149,0.4439,0.4915,0.4665,0.1282,0.142,0.1348,0.2143,0.2373,0.2252,OpenAI
FA-LA-0001,0.3892,0.5683,0.462,0.1238,0.1812,0.1471,0.1724,0.2518,0.2047,OpenAI
PC-NJ-0024,0.5882,0.1982,0.2965,0.172,0.0578,0.0865,0.2513,0.0847,0.1267,OpenAI
PC-NJ-0021,0.4054,0.4438,0.4237,0.1359,0.1488,0.142,0.1838,0.2012,0.1921,OpenAI
EE-CA-0214,0.3842,0.5887,0.465,0.1852,0.2846,0.2244,0.2263,0.3468,0.2739,OpenAI
JC-CA-0115,0.6256,0.2206,0.3262,0.1804,0.0634,0.0938,0.2667,0.094,0.139,OpenAI
EE-NY-0025,0.3459,0.4238,0.381,0.0815,0.1,0.0898,0.1838,0.2252,0.2024,OpenAI
PA-CA-0002,0.6597,0.1385,0.2289,0.2211,0.0462,0.0764,0.3403,0.0714,0.1181,OpenAI
JI-FL-0002,0.5765,0.2425,0.3414,0.1744,0.0731,0.103,0.2806,0.118,0.1662,OpenAI
EE-IL-0106,0.41,0.3142,0.3557,0.1055,0.0808,0.0915,0.185,0.1418,0.1605,OpenAI
EE-NY-0041,0.3706,0.6239,0.465,0.1327,0.2241,0.1667,0.1624,0.2735,0.2038,OpenAI
EE-CA-0079,0.4076,0.4674,0.4354,0.1048,0.1202,0.112,0.2038,0.2337,0.2177,OpenAI
EE-AZ-0009,0.7042,0.2199,0.3352,0.2594,0.0808,0.1232,0.3568,0.1114,0.1698,OpenAI
DR-CA-0001,0.5924,0.1855,0.2825,0.1762,0.055,0.0838,0.2654,0.0831,0.1266,OpenAI
ID-VA-0002,0.599,0.1658,0.2597,0.1893,0.0522,0.0818,0.314,0.0869,0.1361,OpenAI
CJ-ID-0003,0.6825,0.2487,0.3646,0.2429,0.0882,0.1294,0.3602,0.1313,0.1924,OpenAI
JC-NM-0003,0.4746,0.2143,0.2953,0.1875,0.0844,0.1164,0.2486,0.1122,0.1547,OpenAI
NS-NY-0024,0.6652,0.2707,0.3848,0.2318,0.0941,0.1339,0.3032,0.1234,0.1754,OpenAI
PB-CA-0048,0.7427,0.1622,0.2663,0.2732,0.0594,0.0976,0.3592,0.0785,0.1288,OpenAI
FH-NC-0002,0.555,0.4128,0.4735,0.1875,0.1393,0.1598,0.2823,0.21,0.2408,OpenAI
IM-MD-0013,0.5728,0.2864,0.3818,0.2075,0.1035,0.1381,0.3052,0.1526,0.2034,OpenAI
FA-GA-0001,0.7286,0.1327,0.2245,0.3445,0.0625,0.1058,0.3905,0.0711,0.1203,OpenAI
EE-AR-0025,0.335,0.561,0.4195,0.0927,0.1557,0.1162,0.1796,0.3008,0.2249,OpenAI
IM-CA-0104,0.7956,0.1227,0.2126,0.375,0.0576,0.0999,0.4489,0.0692,0.12,OpenAI
CJ-OH-0002,0.5922,0.391,0.471,0.2146,0.1415,0.1705,0.3107,0.2051,0.2471,OpenAI
EE-UT-0013,0.4604,0.5439,0.4987,0.1791,0.2118,0.1941,0.2772,0.3275,0.3003,OpenAI
EE-FL-0091,0.5455,0.3283,0.4099,0.1929,0.1159,0.1448,0.2828,0.1702,0.2125,OpenAI
EE-TX-0273,0.4494,0.3653,0.403,0.1356,0.1101,0.1215,0.2472,0.2009,0.2217,OpenAI
EE-NY-0020,0.5381,0.3759,0.4426,0.2041,0.1423,0.1677,0.3046,0.2128,0.2505,OpenAI
EE-FL-0065,0.3876,0.5159,0.4426,0.1298,0.1731,0.1484,0.2153,0.2866,0.2459,OpenAI
FA-DC-0006,0.5455,0.3529,0.4286,0.2081,0.1344,0.1633,0.2525,0.1634,0.1984,OpenAI
EE-PA-0138,0.3541,0.5211,0.4217,0.1394,0.2057,0.1662,0.1722,0.2535,0.2051,OpenAI
